512;0,000000;74
513;0,000000;83
514;0,000000;93
515;0,000000;79
516;0,000000;71
517;0,000000;73
518;0,000000;66
519;0,000000;62
520;0,000000;63
521;0,000000;79
522;0,000000;55
523;0,000000;68
524;0,000000;58
525;0,000000;62
526;0,000000;67
527;0,000000;74
528;0,000000;93
529;0,000000;79
530;0,000000;73
531;0,000000;62
532;0,000000;73
533;0,000000;75
534;0,000000;76
535;0,000000;60
536;0,000000;64
537;0,000000;76
538;0,000000;73
539;0,000000;68
540;0,000000;80
541;0,000000;72
542;0,000000;71
543;0,000000;55
544;0,000000;60
545;0,000000;72
546;0,000000;72
547;0,000000;73
548;0,000000;73
549;0,000000;75
550;0,000000;61
551;0,000000;73
552;0,000000;65
553;0,000000;55
554;0,000000;64
555;0,000000;89
556;0,000000;88
557;0,000000;68
558;0,000000;64
559;0,000000;78
560;0,000000;74
561;0,000000;68
562;0,000000;77
563;0,000000;77
564;0,000000;76
565;0,000000;65
566;0,000000;92
567;0,000000;79
568;0,000000;81
569;0,000000;73
570;0,000000;75
571;0,000000;72
572;0,000000;93
573;0,000000;73
574;0,000000;80
575;0,000000;81
576;0,000000;81
577;0,000000;83
578;0,000000;76
579;0,000000;83
580;0,000000;86
581;0,000000;62
582;0,000000;76
583;0,000000;77
584;0,000000;87
585;0,000000;85
586;0,000000;70
587;0,000000;80
588;0,000000;78
589;0,000000;69
590;0,000000;112
591;0,000000;88
592;0,000000;82
593;0,000000;76
594;0,000000;87
595;0,000000;87
596;0,000000;80
597;0,000000;105
598;0,000000;85
599;0,000000;68
600;0,000000;91
601;0,000000;91
602;0,000000;103
603;0,000000;85
604;0,000000;95
605;0,000000;106
606;0,000000;96
607;0,000000;97
608;0,000000;106
609;0,000000;101
610;0,000000;94
611;0,000000;96
612;0,000000;112
613;0,000000;113
614;0,000000;117
615;0,000000;115
616;0,000000;100
617;0,000000;99
618;0,000000;102
619;0,000000;98
620;0,000000;129
621;0,000000;139
622;0,000000;116
623;0,000000;148
624;0,000000;130
625;0,000000;132
626;0,000000;131
627;0,000000;139
628;0,000000;152
629;0,000000;178
630;0,000000;174
631;0,000000;164
632;0,000000;169
633;0,000000;192
634;0,000000;186
635;0,000000;190
636;0,000000;181
637;0,000000;205
638;0,000000;196
639;0,000000;220
640;0,000000;246
641;0,000000;229
642;0,000000;240
643;0,000000;236
644;0,000000;244
645;0,000000;243
646;0,000000;269
647;0,000000;274
648;0,000000;312
649;0,000000;309
650;0,000000;327
651;0,000000;338
652;0,000000;319
653;0,000000;344
654;0,000000;367
655;0,000000;388
656;0,000000;440
657;0,000000;388
658;0,000000;425
659;0,000000;463
660;0,000000;468
661;0,000000;458
662;0,000000;448
663;0,000000;522
664;0,000000;511
665;0,000000;544
666;0,000000;564
667;0,000000;534
668;0,000000;595
669;0,000000;604
670;0,000000;654
671;0,000000;651
672;0,000000;713
673;0,000000;689
674;0,000000;743
675;0,000000;817
676;0,000000;790
677;0,000000;823
678;0,000000;793
679;0,000000;822
680;0,000000;857
681;0,000000;955
682;0,000000;939
683;0,000000;934
684;0,000000;936
685;0,000000;974
686;0,000000;1032
687;0,000000;974
688;0,000000;1051
689;0,000000;1098
690;0,000000;1089
691;0,000000;1099
692;0,000000;1164
693;0,000000;1215
694;0,000000;1246
695;0,000000;1252
696;0,000000;1277
697;0,000000;1287
698;0,000000;1274
699;0,000000;1355
700;0,000000;1328
701;0,000000;1255
702;0,000000;1335
703;0,000000;1424
704;0,000000;1433
705;0,000000;1473
706;0,000000;1427
707;0,000000;1420
708;0,000000;1462
709;0,000000;1506
710;0,000000;1516
711;0,000000;1537
712;0,000000;1588
713;0,000000;1565
714;0,000000;1532
715;0,000000;1515
716;0,000000;1642
717;0,000000;1612
718;0,000000;1660
719;0,000000;1551
720;0,000000;1583
721;0,000000;1681
722;0,000000;1554
723;0,000000;1609
724;0,000000;1623
725;0,000000;1654
726;0,000000;1621
727;0,000000;1622
728;0,000000;1661
729;0,000000;1643
730;0,000000;1595
731;0,000000;1639
732;0,000000;1575
733;0,000000;1576
734;0,000000;1637
735;0,000000;1578
736;0,000000;1533
737;0,000000;1591
738;0,000000;1562
739;0,000000;1563
740;0,000000;1557
741;0,000000;1560
742;0,000000;1522
743;0,000000;1469
744;0,000000;1474
745;0,000000;1492
746;0,000000;1405
747;0,000000;1400
748;0,000000;1385
749;0,000000;1374
750;0,000000;1332
751;0,000000;1337
752;0,000000;1267
753;0,000000;1312
754;0,000000;1241
755;0,000000;1264
756;0,000000;1257
757;0,000000;1147
758;0,000000;1260
759;0,000000;1187
760;0,000000;1040
761;0,000000;1088
762;0,000000;1120
763;0,000000;1063
764;0,000000;1091
765;0,000000;1019
766;0,000000;1006
767;0,000000;957
768;0,000000;904
769;0,000000;914
770;0,000000;858
771;0,000000;861
772;0,000000;859
773;0,000000;825
774;0,000000;805
775;0,000000;765
776;0,000000;768
777;0,000000;771
778;0,000000;709
779;0,000000;676
780;0,000000;634
781;0,000000;671
782;0,000000;617
783;0,000000;605
784;0,000000;561
785;0,000000;560
786;0,000000;603
787;0,000000;529
788;0,000000;463
789;0,000000;535
790;0,000000;478
791;0,000000;444
792;0,000000;424
793;0,000000;430
794;0,000000;397
795;0,000000;391
796;0,000000;361
797;0,000000;385
798;0,000000;374
799;0,000000;347
800;0,000000;345
801;0,000000;308
802;0,000000;321
803;0,000000;278
804;0,000000;292
805;0,000000;263
806;0,000000;257
807;0,000000;255
808;0,000000;244
809;0,000000;235
810;0,000000;213
811;0,000000;189
812;0,000000;195
813;0,000000;184
814;0,000000;171
815;0,000000;214
816;0,000000;175
817;0,000000;161
818;0,000000;180
819;0,000000;158
820;0,000000;155
821;0,000000;148
822;0,000000;132
823;0,000000;126
824;0,000000;151
825;0,000000;109
826;0,000000;108
827;0,000000;107
828;0,000000;112
829;0,000000;124
830;0,000000;90
831;0,000000;105
832;0,000000;102
833;0,000000;89
834;0,000000;114
835;0,000000;96
836;0,000000;90
837;0,000000;88
838;0,000000;88
839;0,000000;61
840;0,000000;76
841;0,000000;88
842;0,000000;63
843;0,000000;66
844;0,000000;89
845;0,000000;62
846;0,000000;77
847;0,000000;71
848;0,000000;52
849;0,000000;39
850;0,000000;59
851;0,000000;65
852;0,000000;78
853;0,000000;64
854;0,000000;49
855;0,000000;60
856;0,000000;74
857;0,000000;58
858;0,000000;58
859;0,000000;61
860;0,000000;60
861;0,000000;47
862;0,000000;51
863;0,000000;47
864;0,000000;55
865;0,000000;60
866;0,000000;53
867;0,000000;64
868;0,000000;47
869;0,000000;42
870;0,000000;65
871;0,000000;58
872;0,000000;53
873;0,000000;55
874;0,000000;57
875;0,000000;53
876;0,000000;49
877;0,000000;54
878;0,000000;44
879;0,000000;62
880;0,000000;49
881;0,000000;58
882;0,000000;52
883;0,000000;62
884;0,000000;49
885;0,000000;50
886;0,000000;46
887;0,000000;35
888;0,000000;51
889;0,000000;53
890;0,000000;38
891;0,000000;55
892;0,000000;55
893;0,000000;49
894;0,000000;57
895;0,000000;57
896;0,000000;41
897;0,000000;57
898;0,000000;61
899;0,000000;53
900;0,000000;50
901;0,000000;57
902;0,000000;55
903;0,000000;43
904;0,000000;50
905;0,000000;56
906;0,000000;58
907;0,000000;57
908;0,000000;56
909;0,000000;53
910;0,000000;49
911;0,000000;53
912;0,000000;53
913;0,000000;52
914;0,000000;42
